date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20111018,45,569753597640.0,6386362111116.0,0.08921410777010216
20111019,45,619867323890.0,5768906239844.0,0.10744971370981446
20111020,46,879539164290.0,6797451251600.0,0.12939249311761847
20111021,46,904221893540.0,6463620031512.0,0.13989403602496112
20111024,46,797430488700.0,6775212993226.0,0.11769821694126631
20111025,46,668275868450.0,6098845400585.0,0.10957416110037797
20111026,46,648779424070.0,5622895439939.0,0.11538173366372224
20111027,46,864266329284.0,8066122488440.0,0.1071476822379808
20111028,46,883170719748.0,10124481085664.0,0.08723120842198487
20111031,46,731784234375.0,6433179058288.0,0.1137515725498464
20111101,46,820885580840.0,6285356659876.0,0.13060286396797643
